id,cliente_id,data_pedido,valor,forma_pagamento,status
67,339,2024-11-08,1376.14,cartao_credito,enviado
68,152,2025-04-20,444.82,cartao_credito,entregue
69,377,2025-02-23,1048.38,boleto,entregue
70,30,2024-10-01,133.16,pix,entregue
71,272,2025-09-09,332.72,boleto,processando
72,96,2026-09-01,167.35,cartao_credito,cancelado
73,121,2025-06-09,790.92,boleto,enviado
74,297,2025-03-19,1145.71,boleto,processando
75,215,2026-05-30,1262.61,boleto,entregue
76,162,2026-02-16,1778.45,cartao_credito,cancelado
77,367,2026-01-14,624.28,pix,entregue
78,68,2025-07-04,1289.24,pix,entregue
79,162,2025-08-01,1767.87,cartao_credito,processando
80,235,2025-07-14,1195.26,boleto,processando
81,38,2026-08-10,1039.9,boleto,entregue
82,68,2024-11-22,1775.76,cartao_credito,enviado
83,190,2026-08-01,569.98,pix,entregue
84,361,2025-03-28,602.58,boleto,entregue
85,5,2026-08-22,1282.13,boleto,entregue
86,340,2025-04-29,232.57,cartao_credito,entregue
87,60,2025-12-14,1694.77,boleto,entregue
88,80,2025-05-06,546.47,boleto,enviado
89,368,2025-01-19,677.66,boleto,cancelado
90,136,2025-11-18,979.96,pix,processando
91,48,2025-08-11,1219.67,pix,processando
92,2,2026-02-16,660.32,cartao_credito,cancelado
93,135,2026-07-19,340.44,pix,entregue
94,362,2025-05-15,835.4,cartao_credito,processando
95,39,2026-05-24,1797.69,boleto,enviado
96,280,2025-11-30,106.91,pix,entregue
97,283,2024-12-24,315.35,cartao_credito,processando
98,158,2026-02-19,718.15,cartao_credito,entregue
99,108,2026-04-26,1308.54,boleto,processando
100,182,2025-02-08,1490.92,pix,entregue
101,384,2025-03-20,327.37,cartao_credito,enviado
102,91,2024-12-21,1679.33,cartao_credito,enviado
103,378,2025-07-27,1759.45,pix,cancelado
104,377,2025-11-11,1547.89,pix,enviado
105,360,2025-02-08,240.96,cartao_credito,entregue
106,114,2025-04-28,411.11,pix,entregue
107,157,2025-05-01,1566.1,cartao_credito,enviado
108,13,2024-11-12,1267.56,pix,entregue
109,143,2025-04-25,1647.6,pix,entregue
110,329,2025-11-21,987.39,boleto,entregue
111,170,2026-08-28,1786.88,cartao_credito,entregue
112,92,2026-01-08,1119.8,pix,processando
113,56,2025-08-31,1149.52,pix,cancelado
114,161,2025-11-04,851.59,boleto,processando
115,198,2025-01-27,1712.98,cartao_credito,entregue
116,23,2025-06-26,1358.24,cartao_credito,entregue
117,276,2026-05-07,1317.45,boleto,cancelado
118,344,2026-07-19,406.39,pix,processando
119,341,2026-06-16,1752.53,boleto,entregue
120,340,2025-08-12,1617.21,boleto,entregue
121,260,2024-11-20,615.17,pix,entregue
122,207,2024-12-23,1336.71,boleto,enviado
123,99,2025-10-21,821.93,pix,cancelado
124,384,2025-08-16,1719.12,boleto,entregue
125,155,2026-02-28,795.2,cartao_credito,entregue
126,147,2025-05-08,430.84,boleto,entregue
127,336,2025-10-03,639.28,pix,entregue
128,346,2026-09-03,437.38,pix,cancelado
129,87,2026-02-21,1265.36,pix,entregue
130,340,2026-03-14,1217.17,pix,processando
131,385,2025-06-11,476.76,pix,enviado
132,102,2025-09-05,313.98,cartao_credito,enviado
133,244,2025-06-09,1176.87,cartao_credito,entregue
134,213,2025-08-05,1688.11,boleto,enviado
135,368,2025-09-04,1335.12,pix,entregue
136,125,2025-07-30,314.38,boleto,processando
137,385,2025-07-22,1640.32,cartao_credito,entregue
138,113,2025-08-31,367.05,boleto,entregue
139,238,2024-09-28,133.31,cartao_credito,processando
140,234,2026-08-16,287.91,pix,cancelado
141,272,2025-11-15,1877.38,boleto,entregue
142,387,2024-09-27,1697.95,boleto,cancelado
143,259,2026-04-25,833.64,boleto,entregue
144,82,2025-07-30,1423.1,pix,entregue
145,133,2024-11-14,1438.2,boleto,entregue
146,393,2026-04-17,1486.38,pix,cancelado
147,123,2024-12-25,550.65,cartao_credito,cancelado
148,147,2025-12-28,476.06,pix,entregue
149,277,2026-08-12,189.77,cartao_credito,enviado
150,197,2025-04-29,1330.65,boleto,enviado
151,33,2026-05-10,811.55,pix,entregue
152,239,2025-03-14,813.24,cartao_credito,entregue
153,200,2025-12-01,1722.9,boleto,cancelado
154,11,2025-10-09,1633.42,boleto,entregue
155,245,2025-06-23,50.87,pix,entregue
156,386,2024-12-14,765.28,pix,entregue
157,383,2026-01-02,1406.32,boleto,enviado
158,250,2025-11-02,448.02,pix,entregue
159,15,2026-08-06,763.17,boleto,cancelado
160,208,2025-11-20,1386.88,pix,enviado
161,319,2026-07-20,1033.37,pix,entregue
162,289,2025-04-22,1273.08,cartao_credito,cancelado
163,220,2024-10-18,292.3,pix,enviado
164,26,2026-04-16,523.79,pix,enviado
165,233,2026-06-25,647.83,pix,entregue
166,386,2025-07-08,1809.14,pix,entregue
167,42,2024-12-13,914.67,boleto,entregue
168,27,2025-07-16,1899.73,pix,enviado
169,333,2026-02-09,167.53,boleto,processando
170,387,2024-09-11,97.62,cartao_credito,enviado
171,11,2025-09-01,1195.58,cartao_credito,enviado
172,243,2026-05-27,1285.09,boleto,enviado
173,239,2026-04-22,1340.9,pix,enviado
174,311,2026-07-18,1169.38,boleto,cancelado
175,59,2025-10-14,1486.59,cartao_credito,entregue
176,56,2025-08-30,1116.25,pix,entregue
177,347,2026-06-20,1728.83,pix,entregue
178,367,2024-10-19,408.79,boleto,cancelado
179,322,2024-11-11,491.6,boleto,entregue
180,351,2024-10-19,1156.67,cartao_credito,entregue
181,22,2025-04-04,685.7,pix,cancelado
182,190,2026-06-13,168.16,boleto,entregue
183,7,2026-01-24,1620.11,pix,processando
184,222,2024-11-29,1826.96,boleto,entregue
185,363,2025-05-24,324.46,cartao_credito,cancelado
186,268,2025-12-12,1835.68,pix,entregue
187,276,2024-11-21,1480.73,pix,entregue
188,375,2026-06-07,1141.9,pix,enviado
189,45,2025-04-20,558.71,pix,enviado
190,385,2025-11-20,904.26,boleto,cancelado
191,195,2025-09-15,665.6,pix,entregue
192,94,2026-02-25,946.74,pix,entregue
193,175,2025-05-22,560.06,boleto,cancelado
194,142,2026-07-10,1073.67,boleto,enviado
195,44,2024-10-24,488.82,pix,entregue
196,285,2024-12-10,1450.09,boleto,entregue
197,331,2026-04-05,1363.93,pix,processando
198,48,2025-12-05,587.18,pix,cancelado
199,125,2026-02-12,609.44,boleto,entregue
200,243,2025-10-08,1069.36,pix,entregue
201,382,2026-04-04,1063.62,pix,cancelado
202,233,2026-03-17,543.8,pix,enviado
203,62,2024-10-18,1381.49,pix,processando
204,381,2026-03-05,1036.61,boleto,enviado
205,99,2025-02-13,442.38,pix,entregue
206,371,2025-10-12,1136.53,boleto,entregue
207,145,2024-12-27,1863.65,cartao_credito,entregue
208,117,2025-11-17,711.14,pix,processando
209,363,2026-04-05,1033.39,pix,processando
210,28,2025-09-26,1069.15,boleto,enviado
211,327,2024-12-21,1655.24,pix,processando
212,7,2025-02-27,1107.66,pix,entregue
213,226,2026-08-03,673.61,cartao_credito,entregue
214,245,2026-02-13,252.1,cartao_credito,entregue
215,252,2026-01-16,177.69,boleto,cancelado
216,28,2026-06-30,322.11,boleto,entregue
217,44,2025-01-05,1888.59,cartao_credito,entregue
218,392,2025-04-28,813.98,boleto,entregue
219,116,2026-01-07,1482.69,pix,entregue
220,227,2025-05-06,592.98,boleto,entregue
221,157,2026-03-19,1097.55,cartao_credito,entregue
222,379,2026-09-04,224.47,cartao_credito,cancelado
223,109,2024-09-12,532.14,cartao_credito,enviado
224,123,2026-05-25,363.19,cartao_credito,enviado
225,2,2025-09-18,799.74,boleto,entregue
226,241,2026-01-04,581.64,cartao_credito,entregue
227,362,2026-02-23,565.76,pix,processando
228,352,2025-02-09,474.07,pix,cancelado
229,302,2024-12-05,1269.7,cartao_credito,entregue
230,59,2024-10-29,1052.79,boleto,enviado
231,137,2024-09-07,1577.43,cartao_credito,processando
232,85,2025-01-03,1514.19,boleto,cancelado
233,292,2025-12-19,1753.32,pix,processando
234,240,2026-07-22,1320.84,boleto,entregue
235,140,2024-12-10,970.78,pix,entregue
236,42,2025-10-15,1152.25,pix,cancelado
237,166,2024-11-21,1162.81,cartao_credito,processando
238,118,2025-03-18,1829.05,boleto,entregue
239,11,2025-02-12,1899.1,boleto,entregue
240,296,2024-11-26,114.73,cartao_credito,entregue
241,266,2025-09-09,1251.71,pix,enviado
242,300,2024-09-26,850.65,pix,processando
243,241,2026-06-15,687.11,pix,entregue
244,344,2025-10-04,234.46,cartao_credito,entregue
245,211,2025-08-17,1330.13,pix,cancelado
246,206,2025-07-07,1553.13,boleto,processando
247,233,2024-10-20,203.69,pix,entregue
248,60,2026-08-27,1844.44,pix,entregue
249,1,2024-12-10,1263.15,boleto,entregue
250,212,2025-04-27,140.72,boleto,entregue
251,319,2025-07-18,1446.88,boleto,entregue
252,390,2025-09-17,135.9,pix,entregue
253,68,2025-01-27,1765.37,pix,cancelado
254,249,2026-06-06,265.75,boleto,entregue
255,123,2025-03-08,1360.1,pix,entregue
256,8,2026-06-22,1067.09,cartao_credito,enviado
257,59,2026-06-27,898.19,cartao_credito,cancelado
258,79,2025-11-05,966.88,boleto,entregue
259,261,2025-03-28,1351.97,pix,entregue
260,242,2026-06-07,493.24,boleto,enviado
261,197,2025-12-26,394.44,boleto,entregue
262,383,2026-02-18,1675.45,cartao_credito,entregue
263,396,2025-08-14,1509.31,pix,entregue
264,260,2026-07-06,536.84,cartao_credito,entregue
265,372,2026-01-31,595.21,boleto,entregue
266,338,2025-12-30,950.63,cartao_credito,entregue
267,276,2024-12-11,940.77,pix,entregue
268,391,2025-08-08,1050.68,pix,entregue
269,97,2024-12-29,1864.14,cartao_credito,entregue
270,197,2026-01-14,474.33,pix,processando
271,163,2024-09-23,1425.05,boleto,entregue
272,198,2025-01-28,1878.35,boleto,enviado
273,254,2024-12-26,1834.47,cartao_credito,entregue
274,303,2026-06-04,657.41,cartao_credito,entregue
275,52,2026-04-08,1018.17,pix,processando
276,370,2026-01-30,308.03,boleto,enviado
277,39,2025-03-12,913.15,pix,entregue
278,320,2025-01-17,1328.33,boleto,processando
279,169,2025-10-09,1625.25,boleto,entregue
280,163,2026-04-06,1205.75,pix,entregue
281,19,2026-03-04,1188.37,cartao_credito,cancelado
282,351,2025-11-05,1752.83,cartao_credito,cancelado
283,47,2025-02-09,847.09,cartao_credito,cancelado
284,361,2025-09-11,1662.9,pix,enviado
285,356,2025-09-15,596.91,cartao_credito,processando
286,167,2025-04-20,1520.73,pix,entregue
287,192,2025-04-19,840.98,cartao_credito,entregue
288,211,2026-02-07,1092.53,cartao_credito,enviado
289,90,2024-11-23,186.78,pix,entregue
290,350,2025-12-08,487.84,boleto,enviado
291,119,2025-09-24,897.64,pix,entregue
292,131,2025-06-19,1280.22,pix,entregue
293,347,2026-02-07,1056.57,cartao_credito,entregue
294,177,2025-04-08,1876.93,pix,cancelado
295,218,2025-07-07,1323.88,pix,entregue
296,102,2025-07-03,1898.73,pix,processando
297,122,2026-03-02,749.24,pix,entregue
298,152,2026-05-21,1886.31,pix,processando
299,338,2024-11-29,776.1,cartao_credito,entregue
300,352,2025-09-02,1487.56,cartao_credito,entregue
301,382,2025-07-27,963.81,pix,enviado
302,311,2026-05-31,1531.49,cartao_credito,cancelado
303,98,2025-08-02,1194.76,boleto,cancelado
304,393,2024-12-31,1265.98,cartao_credito,cancelado
305,50,2024-09-28,1720.23,boleto,processando
306,159,2025-04-15,1506.72,cartao_credito,entregue
307,187,2025-08-28,1402.09,cartao_credito,entregue
308,168,2024-12-09,1430.21,cartao_credito,enviado
309,68,2025-11-19,1502.81,pix,entregue
310,257,2025-07-06,1738.99,cartao_credito,entregue
311,247,2024-09-15,1839.23,pix,cancelado
312,174,2025-12-01,1535.77,pix,processando
313,73,2025-04-30,1442.62,cartao_credito,cancelado
314,371,2024-10-03,1294.3,pix,entregue
315,188,2026-01-21,207.86,pix,processando
316,136,2026-01-25,1037.92,pix,entregue
317,345,2026-08-01,1433.06,pix,entregue
318,196,2026-01-30,1569.6,pix,processando
319,346,2026-01-01,474.81,cartao_credito,entregue
320,288,2025-08-18,649.99,boleto,enviado
321,332,2024-10-10,157.48,pix,cancelado
322,155,2026-08-13,1247.49,cartao_credito,enviado
323,24,2026-08-12,1799.95,pix,entregue
324,60,2025-06-09,220.68,boleto,enviado
325,199,2024-12-24,883.68,boleto,cancelado
326,357,2025-09-05,1799.41,pix,entregue
327,381,2026-07-24,1391.37,pix,cancelado
328,51,2026-03-22,1590.57,boleto,entregue
329,144,2025-08-29,100.75,pix,enviado
330,228,2025-04-10,867.03,cartao_credito,entregue
331,51,2024-09-14,1864.43,pix,entregue
332,331,2025-01-07,707.03,pix,entregue
333,98,2025-06-11,1840.76,pix,processando
334,340,2025-09-30,434.42,boleto,entregue
335,11,2026-07-03,133.98,pix,enviado
336,65,2026-07-07,1503.68,cartao_credito,processando
337,392,2025-10-02,1070.73,boleto,enviado
338,120,2025-02-17,651.02,cartao_credito,entregue
339,2,2025-06-04,555.63,cartao_credito,enviado
340,277,2026-08-09,506.12,cartao_credito,processando
341,339,2026-03-09,1651.49,cartao_credito,processando
342,184,2025-10-19,1509.27,cartao_credito,entregue
343,166,2025-07-07,69.25,pix,processando
344,65,2025-10-10,1419.5,boleto,processando
345,382,2024-10-25,158.12,pix,entregue
346,263,2025-01-20,1144.12,pix,entregue
347,114,2026-01-29,1798.37,cartao_credito,cancelado
348,338,2025-01-02,1009.8,pix,cancelado
349,16,2025-06-07,153.04,pix,entregue
350,219,2026-01-29,1316.04,pix,cancelado
351,228,2026-03-19,176.59,cartao_credito,entregue
352,312,2025-11-18,315.8,cartao_credito,entregue
353,320,2025-05-28,1217.42,boleto,cancelado
354,167,2025-08-29,748.38,boleto,entregue
355,151,2026-03-16,883.81,boleto,entregue
356,51,2026-07-05,1515.06,cartao_credito,cancelado
357,334,2026-05-11,1672.43,boleto,cancelado
358,111,2024-12-24,839.83,cartao_credito,entregue
359,174,2025-04-11,1578.9,pix,entregue
360,374,2026-05-09,216.76,pix,entregue
361,341,2026-04-22,514.0,cartao_credito,cancelado
362,243,2026-01-31,164.77,cartao_credito,processando
363,222,2025-04-30,219.51,boleto,entregue
364,67,2026-08-25,1074.75,boleto,entregue
365,288,2025-07-09,653.04,cartao_credito,entregue
366,182,2024-10-29,1664.81,pix,cancelado
367,27,2026-08-19,1841.12,boleto,entregue
368,181,2026-06-20,232.6,boleto,enviado
369,80,2026-01-21,1261.43,cartao_credito,processando
370,180,2025-09-17,1612.29,pix,processando
371,391,2025-06-26,558.04,cartao_credito,entregue
372,288,2025-09-08,1852.56,boleto,entregue
373,346,2025-12-21,1235.32,cartao_credito,entregue
374,337,2026-01-31,1582.7,pix,processando
375,93,2025-01-25,548.18,pix,entregue
376,180,2025-11-28,51.26,cartao_credito,entregue
377,337,2026-03-11,785.36,cartao_credito,cancelado
378,325,2026-08-28,1847.47,cartao_credito,cancelado
379,272,2025-10-05,440.05,pix,entregue
380,175,2026-05-02,332.68,pix,cancelado
381,167,2026-01-31,1484.81,boleto,entregue
382,44,2025-10-20,1682.92,cartao_credito,enviado
383,387,2025-03-27,1189.08,boleto,processando
384,140,2024-12-16,864.09,pix,entregue
385,311,2026-03-02,862.1,pix,enviado
386,387,2025-05-16,992.86,pix,entregue
387,57,2025-12-08,566.74,boleto,entregue
388,250,2025-12-02,1020.0,pix,processando
389,113,2025-06-04,775.09,boleto,processando
390,4,2025-12-04,420.13,cartao_credito,enviado
391,392,2025-12-30,515.17,pix,processando
392,4,2026-06-13,965.04,pix,enviado
393,67,2025-07-17,747.09,boleto,enviado
394,257,2024-10-29,1079.13,boleto,entregue
395,37,2024-10-11,778.45,boleto,processando
396,224,2024-09-29,74.76,cartao_credito,entregue
397,295,2026-06-30,838.37,pix,cancelado
398,328,2026-03-30,816.81,cartao_credito,entregue
399,11,2025-01-08,1837.03,cartao_credito,entregue
400,236,2025-03-05,1587.47,pix,processando
401,224,2024-11-20,1610.64,cartao_credito,entregue
402,302,2026-02-05,784.74,cartao_credito,entregue
403,159,2024-11-28,1427.1,cartao_credito,entregue
404,399,2025-09-29,352.63,boleto,cancelado
405,59,2026-09-02,1026.82,cartao_credito,entregue
406,180,2026-02-16,1392.83,boleto,enviado
407,121,2025-09-12,231.12,pix,enviado
408,89,2025-05-16,1160.36,boleto,processando
409,91,2026-04-20,1809.3,boleto,entregue
410,238,2025-03-05,1443.17,boleto,entregue
411,349,2026-04-29,1758.83,boleto,cancelado
412,326,2026-05-28,1874.85,pix,cancelado
413,162,2026-08-20,320.68,cartao_credito,entregue
414,227,2026-03-30,1214.28,pix,entregue
415,29,2026-05-17,694.51,cartao_credito,entregue
416,237,2025-03-09,880.46,cartao_credito,entregue
417,147,2024-11-27,182.62,cartao_credito,entregue
418,305,2026-08-06,983.05,pix,entregue
419,284,2026-07-23,1814.77,boleto,processando
420,231,2025-01-20,1730.73,boleto,cancelado
421,97,2026-03-26,637.94,pix,entregue
422,78,2026-08-01,1821.26,pix,processando
423,176,2025-07-02,1867.14,cartao_credito,entregue
424,331,2026-04-17,360.86,cartao_credito,cancelado
425,225,2025-07-30,1883.13,boleto,entregue
426,313,2026-08-24,335.17,pix,entregue
427,199,2024-10-26,800.21,pix,cancelado
428,307,2024-10-25,137.3,boleto,cancelado
429,172,2025-12-26,162.5,cartao_credito,entregue
430,348,2025-03-20,758.91,pix,cancelado
431,337,2024-12-04,1833.7,boleto,enviado
432,171,2024-10-06,191.49,boleto,enviado
433,180,2026-06-26,616.93,boleto,cancelado
434,340,2026-04-12,768.94,boleto,cancelado
435,44,2024-11-02,615.72,pix,cancelado
436,169,2025-08-15,1552.42,boleto,cancelado
437,379,2026-04-22,1894.63,boleto,processando
438,331,2025-06-24,1286.95,boleto,entregue
439,10,2025-12-22,714.33,cartao_credito,enviado
440,175,2026-01-10,1802.56,pix,enviado
441,116,2026-06-21,1899.86,cartao_credito,processando
442,152,2024-09-29,1610.54,cartao_credito,entregue
443,395,2026-08-25,1043.87,boleto,entregue
444,20,2025-01-20,1271.09,boleto,enviado
445,306,2025-05-14,740.6,cartao_credito,enviado
446,355,2024-11-29,1474.14,cartao_credito,cancelado
447,225,2026-03-03,121.17,pix,cancelado
448,369,2025-08-22,481.71,pix,entregue
449,146,2025-06-27,1439.35,pix,enviado
450,274,2024-12-19,484.75,pix,enviado
451,189,2026-01-15,1301.55,boleto,entregue
452,237,2025-11-26,1471.06,pix,entregue
453,271,2025-11-13,818.61,cartao_credito,enviado
454,310,2025-02-09,297.32,pix,processando
455,329,2025-02-06,933.8,pix,entregue
456,53,2025-03-22,1363.11,boleto,processando
457,146,2025-09-23,195.91,cartao_credito,entregue
458,231,2025-08-12,1723.77,cartao_credito,entregue
459,47,2026-02-16,1800.23,cartao_credito,entregue
460,179,2025-04-17,1770.58,pix,processando
461,203,2025-03-01,973.63,cartao_credito,entregue
462,42,2025-02-10,737.24,cartao_credito,entregue
463,51,2026-04-06,1600.77,boleto,entregue
464,75,2025-01-10,295.84,pix,entregue
465,357,2025-08-10,1585.77,boleto,entregue
466,230,2026-06-01,1184.45,cartao_credito,processando
467,132,2025-10-22,441.02,cartao_credito,entregue
468,373,2026-05-28,1172.42,pix,processando
469,398,2026-05-13,575.77,pix,processando
470,25,2025-02-03,483.4,boleto,entregue
471,235,2024-11-12,156.72,pix,entregue
472,275,2025-12-03,70.47,boleto,entregue
473,124,2024-09-25,1376.39,pix,entregue
474,1,2026-01-08,1183.45,cartao_credito,entregue
475,214,2026-02-08,388.3,boleto,processando
476,269,2024-11-20,1852.76,cartao_credito,entregue
477,279,2025-02-12,983.53,boleto,entregue
478,11,2024-10-02,766.14,pix,processando
479,326,2026-05-29,759.5,pix,entregue
480,383,2024-12-25,70.11,cartao_credito,entregue
481,124,2026-08-01,1403.17,boleto,processando
482,396,2024-09-11,1122.24,pix,enviado
483,23,2025-06-13,695.18,pix,cancelado
484,90,2026-05-01,1584.41,boleto,entregue
485,357,2025-07-20,929.97,cartao_credito,enviado
486,33,2025-11-22,1371.74,pix,processando
487,151,2025-11-05,414.86,cartao_credito,processando
488,162,2026-07-10,1775.97,boleto,entregue
489,279,2024-11-01,920.42,cartao_credito,cancelado
490,98,2025-05-29,572.07,cartao_credito,cancelado
491,170,2025-01-28,548.08,pix,entregue
492,205,2026-02-19,1422.45,pix,entregue
493,96,2026-03-27,962.84,pix,entregue
494,266,2026-08-15,536.0,cartao_credito,cancelado
495,218,2026-03-26,186.7,boleto,enviado
496,280,2026-01-18,586.31,cartao_credito,processando
497,168,2025-10-22,1269.21,pix,entregue
498,309,2025-09-27,1374.75,cartao_credito,cancelado
499,228,2025-02-01,693.78,cartao_credito,cancelado
500,181,2026-06-15,1183.52,pix,entregue
501,328,2025-02-15,1862.75,cartao_credito,processando
502,344,2025-11-24,1225.67,pix,entregue
503,384,2026-06-11,1303.6,cartao_credito,enviado
504,312,2025-09-09,1301.15,pix,processando
505,65,2025-10-01,164.95,boleto,entregue
506,186,2025-06-07,752.01,boleto,processando
507,310,2025-06-10,325.29,pix,entregue
508,191,2025-12-31,865.63,cartao_credito,entregue
509,71,2026-08-06,1024.7,pix,entregue
510,333,2025-11-14,558.26,cartao_credito,processando
511,377,2026-07-01,385.95,boleto,entregue
512,288,2024-12-23,258.94,pix,cancelado
513,229,2026-05-22,439.0,boleto,entregue
514,356,2024-10-29,1744.55,pix,enviado
515,63,2025-08-13,292.35,cartao_credito,entregue
516,89,2025-08-05,1711.44,pix,processando
517,350,2026-01-05,1839.56,pix,cancelado
518,178,2025-06-26,1359.65,boleto,entregue
519,149,2026-07-17,1697.78,cartao_credito,cancelado
520,364,2024-11-01,1764.72,boleto,enviado
521,186,2025-11-23,986.19,cartao_credito,enviado
522,72,2024-11-06,480.23,pix,processando
523,185,2024-12-14,1070.38,pix,entregue
524,283,2026-05-07,281.27,cartao_credito,processando
525,159,2025-10-13,780.48,boleto,cancelado
526,246,2025-04-26,1017.69,pix,entregue
527,38,2024-11-24,273.01,pix,cancelado
528,38,2024-12-07,876.85,boleto,entregue
529,177,2025-09-29,278.6,boleto,cancelado
530,301,2025-03-05,378.35,cartao_credito,entregue
531,258,2024-10-16,1733.82,cartao_credito,processando
532,266,2025-12-18,324.51,cartao_credito,enviado
533,166,2025-10-31,1778.51,cartao_credito,entregue
534,266,2025-05-22,1704.46,cartao_credito,entregue
535,101,2024-09-24,1221.11,boleto,entregue
536,65,2025-02-28,1202.44,boleto,entregue
537,48,2026-06-06,974.69,cartao_credito,entregue
538,298,2026-09-07,326.7,boleto,entregue
539,369,2025-04-20,1717.62,pix,entregue
540,22,2026-08-24,1574.84,cartao_credito,processando
541,24,2026-06-12,1804.2,boleto,entregue
542,334,2025-03-21,432.0,boleto,entregue
543,317,2025-07-07,1228.42,pix,cancelado
544,280,2026-03-07,578.69,pix,entregue
545,126,2025-06-11,1536.62,boleto,entregue
546,153,2024-10-29,883.49,boleto,processando
547,81,2026-07-16,857.57,pix,entregue
548,105,2026-07-15,672.66,cartao_credito,entregue
549,368,2025-01-07,633.83,pix,entregue
550,67,2025-04-18,1454.74,boleto,entregue
551,55,2024-11-04,633.46,pix,processando
552,137,2025-10-27,876.15,cartao_credito,processando
553,26,2025-11-27,579.69,pix,entregue
554,215,2025-03-13,501.68,cartao_credito,entregue
555,296,2026-07-01,1381.2,cartao_credito,enviado
556,256,2025-10-14,1892.4,pix,entregue
557,158,2026-08-31,965.01,cartao_credito,entregue
558,259,2025-12-25,890.35,cartao_credito,enviado
559,299,2025-09-30,696.28,cartao_credito,entregue
560,254,2025-05-07,1151.28,boleto,cancelado
561,241,2025-07-14,571.39,cartao_credito,processando
562,221,2025-12-31,289.02,pix,cancelado
563,188,2024-10-20,1460.67,pix,processando
564,206,2025-11-05,135.05,boleto,enviado
565,186,2026-03-02,1068.89,cartao_credito,entregue
566,259,2026-07-31,877.56,boleto,entregue
567,320,2024-12-02,1305.44,cartao_credito,enviado
568,50,2025-12-03,772.56,pix,entregue
569,188,2025-09-07,1444.14,cartao_credito,entregue
570,261,2026-09-04,786.48,cartao_credito,processando
571,20,2026-08-20,294.79,pix,entregue
572,266,2025-03-30,889.9,boleto,entregue
573,72,2026-01-27,649.92,boleto,entregue
574,84,2024-09-30,770.8,boleto,cancelado
575,154,2024-10-02,1144.23,boleto,entregue
576,273,2025-05-27,951.01,boleto,entregue
577,244,2025-07-31,1557.19,pix,entregue
578,345,2025-03-28,243.76,pix,entregue
579,158,2025-02-09,1521.86,boleto,cancelado
580,323,2025-05-24,89.46,pix,entregue
