id,cliente_id,funcionario_id,data_abertura,canal,assunto,resolvido
82,237,13,2026-06-17,telefone,solicitacao de cancelamento,1
83,283,1,2025-11-27,chat,solicitacao de exclusao de dados (LGPD),0
84,144,5,2026-02-21,e-mail,troca de produto,1
85,376,1,2026-03-27,e-mail,duvida sobre pedido,0
86,260,1,2025-12-24,e-mail,solicitacao de exclusao de dados (LGPD),1
87,394,17,2026-04-18,chat,duvida sobre pedido,1
88,134,17,2026-08-14,e-mail,problema no pagamento,1
89,397,5,2026-05-04,telefone,problema no pagamento,0
90,396,17,2026-01-07,e-mail,solicitacao de cancelamento,0
91,238,17,2025-10-15,e-mail,duvida sobre pedido,1
92,187,17,2026-01-19,chat,troca de produto,1
93,351,5,2025-12-26,e-mail,troca de produto,1
94,82,5,2025-11-10,e-mail,solicitacao de exclusao de dados (LGPD),1
95,75,13,2025-10-23,telefone,duvida sobre pedido,0
96,390,13,2025-12-27,chat,duvida sobre pedido,1
97,190,5,2025-12-22,chat,troca de produto,1
98,185,13,2026-03-14,telefone,problema no pagamento,0
99,21,9,2026-02-24,chat,solicitacao de exclusao de dados (LGPD),1
100,141,9,2025-12-02,e-mail,solicitacao de exclusao de dados (LGPD),1
101,90,13,2026-08-16,e-mail,problema no pagamento,1
102,301,1,2025-11-11,e-mail,solicitacao de cancelamento,1
103,115,17,2025-12-28,telefone,solicitacao de cancelamento,1
104,250,13,2026-09-06,e-mail,duvida sobre pedido,1
105,72,13,2026-08-29,chat,troca de produto,0
106,264,9,2025-12-16,chat,troca de produto,0
107,81,9,2026-04-30,e-mail,duvida sobre pedido,1
108,118,13,2026-06-26,telefone,duvida sobre pedido,1
109,346,13,2025-10-18,telefone,troca de produto,1
110,83,13,2026-09-01,chat,troca de produto,0
111,66,17,2025-12-05,e-mail,troca de produto,0
112,323,17,2026-05-23,chat,solicitacao de exclusao de dados (LGPD),0
113,29,5,2025-12-24,telefone,troca de produto,1
114,208,17,2025-10-31,e-mail,duvida sobre pedido,1
115,373,9,2025-10-14,chat,troca de produto,1
116,311,13,2025-11-26,telefone,troca de produto,0
117,211,17,2026-04-09,chat,solicitacao de exclusao de dados (LGPD),0
118,320,17,2026-07-29,telefone,troca de produto,1
119,352,9,2026-03-23,telefone,solicitacao de exclusao de dados (LGPD),1
120,36,5,2026-06-27,telefone,problema no pagamento,0
121,56,1,2025-11-11,chat,solicitacao de exclusao de dados (LGPD),1
122,351,13,2025-09-17,chat,solicitacao de exclusao de dados (LGPD),0
123,91,13,2026-04-27,e-mail,solicitacao de exclusao de dados (LGPD),0
124,273,17,2026-08-23,chat,duvida sobre pedido,1
125,338,5,2025-09-22,e-mail,solicitacao de exclusao de dados (LGPD),0
126,397,13,2026-08-18,e-mail,problema no pagamento,1
127,23,17,2026-04-04,telefone,troca de produto,1
128,394,13,2026-04-03,telefone,solicitacao de exclusao de dados (LGPD),1
129,390,17,2026-07-14,chat,problema no pagamento,0
130,131,13,2025-11-21,chat,duvida sobre pedido,1
131,307,17,2025-09-09,telefone,solicitacao de cancelamento,0
132,3,1,2026-03-15,e-mail,solicitacao de exclusao de dados (LGPD),0
133,267,1,2026-07-27,telefone,troca de produto,1
134,162,13,2026-07-23,telefone,duvida sobre pedido,0
135,219,17,2025-09-17,telefone,solicitacao de cancelamento,1
136,217,17,2026-01-28,telefone,solicitacao de exclusao de dados (LGPD),1
137,349,13,2025-11-24,chat,problema no pagamento,1
138,286,13,2025-12-25,chat,solicitacao de cancelamento,1
139,285,13,2026-09-07,telefone,solicitacao de cancelamento,1
140,177,13,2026-04-16,e-mail,troca de produto,1
141,61,5,2026-02-19,telefone,troca de produto,0
142,110,17,2026-06-18,telefone,solicitacao de cancelamento,1
143,315,1,2026-02-26,chat,problema no pagamento,1
144,3,1,2026-03-28,chat,problema no pagamento,1
145,223,1,2025-10-26,chat,solicitacao de cancelamento,0
146,190,1,2026-07-26,e-mail,duvida sobre pedido,1
147,197,13,2026-03-02,e-mail,solicitacao de exclusao de dados (LGPD),1
148,365,17,2025-12-30,chat,troca de produto,1
149,254,13,2026-08-29,chat,troca de produto,1
150,266,9,2025-10-19,chat,duvida sobre pedido,1
151,262,17,2026-06-12,e-mail,troca de produto,1
152,87,1,2026-06-08,telefone,troca de produto,1
153,1,5,2026-08-29,chat,solicitacao de cancelamento,1
154,181,13,2026-08-01,telefone,solicitacao de exclusao de dados (LGPD),0
155,266,1,2025-10-23,e-mail,duvida sobre pedido,0
156,282,9,2026-02-26,e-mail,solicitacao de exclusao de dados (LGPD),1
157,179,9,2026-08-18,telefone,troca de produto,1
158,100,13,2026-02-21,telefone,solicitacao de exclusao de dados (LGPD),0
159,134,5,2026-03-17,telefone,solicitacao de exclusao de dados (LGPD),0
160,287,1,2025-12-18,e-mail,solicitacao de cancelamento,1
161,60,17,2025-10-10,telefone,solicitacao de exclusao de dados (LGPD),1
162,129,13,2026-08-08,telefone,solicitacao de exclusao de dados (LGPD),1
163,395,5,2025-10-30,telefone,problema no pagamento,1
164,236,17,2025-12-24,chat,problema no pagamento,0
165,133,1,2026-06-18,telefone,troca de produto,1
166,360,5,2026-05-24,telefone,problema no pagamento,1
167,265,17,2025-10-22,chat,solicitacao de cancelamento,0
168,148,1,2026-01-22,telefone,solicitacao de cancelamento,0
169,284,5,2026-07-16,telefone,solicitacao de cancelamento,1
170,112,17,2025-10-07,telefone,troca de produto,1
171,350,5,2026-06-23,telefone,troca de produto,0
172,377,5,2026-07-12,telefone,troca de produto,0
173,104,5,2025-12-02,e-mail,solicitacao de cancelamento,0
174,399,1,2026-06-16,chat,duvida sobre pedido,1
175,340,13,2025-10-05,e-mail,duvida sobre pedido,1
176,22,13,2026-01-12,telefone,solicitacao de exclusao de dados (LGPD),1
177,253,17,2025-11-06,telefone,problema no pagamento,0
178,392,17,2026-03-22,telefone,problema no pagamento,0
179,385,17,2026-01-15,chat,duvida sobre pedido,1
180,217,13,2025-12-23,e-mail,duvida sobre pedido,1
181,178,13,2026-03-02,e-mail,troca de produto,1
182,62,17,2026-05-09,telefone,solicitacao de cancelamento,1
183,5,1,2026-06-19,e-mail,troca de produto,1
184,298,1,2026-03-25,telefone,solicitacao de cancelamento,1
185,133,5,2026-05-26,e-mail,solicitacao de cancelamento,0
186,138,13,2026-07-05,e-mail,solicitacao de cancelamento,1
187,95,13,2025-10-05,telefone,troca de produto,1
188,359,9,2026-06-08,telefone,problema no pagamento,1
189,231,5,2026-06-01,e-mail,troca de produto,1
190,352,5,2026-01-07,chat,solicitacao de cancelamento,0
191,285,13,2026-08-19,telefone,troca de produto,0
192,379,5,2026-09-01,telefone,duvida sobre pedido,0
193,216,13,2025-09-21,chat,solicitacao de exclusao de dados (LGPD),1
194,369,9,2026-02-22,telefone,solicitacao de cancelamento,1
195,288,17,2025-10-16,chat,problema no pagamento,0
196,354,5,2026-09-04,chat,troca de produto,1
197,244,1,2026-06-07,telefone,solicitacao de cancelamento,1
198,185,9,2026-07-12,e-mail,solicitacao de exclusao de dados (LGPD),1
199,177,1,2026-03-28,telefone,duvida sobre pedido,1
200,348,17,2026-01-08,chat,solicitacao de exclusao de dados (LGPD),1
201,333,17,2025-11-19,chat,solicitacao de cancelamento,1
202,167,17,2026-07-30,telefone,problema no pagamento,0
203,196,17,2026-04-11,telefone,problema no pagamento,1
204,75,5,2026-05-21,e-mail,solicitacao de cancelamento,1
205,324,17,2026-07-29,e-mail,problema no pagamento,0
206,41,5,2026-08-13,telefone,troca de produto,1
207,163,9,2026-05-08,e-mail,solicitacao de cancelamento,1
208,331,13,2025-09-20,telefone,problema no pagamento,1
209,383,17,2026-05-11,e-mail,problema no pagamento,1
210,86,5,2026-05-08,chat,troca de produto,1
211,121,9,2025-09-10,e-mail,duvida sobre pedido,0
212,86,13,2025-12-11,chat,duvida sobre pedido,0
213,243,17,2025-10-30,chat,duvida sobre pedido,1
214,269,1,2026-04-22,chat,solicitacao de cancelamento,1
215,80,1,2026-01-31,e-mail,problema no pagamento,1
216,118,5,2026-08-11,e-mail,solicitacao de cancelamento,1
217,321,5,2025-12-01,chat,solicitacao de exclusao de dados (LGPD),0
218,15,1,2026-05-26,e-mail,solicitacao de cancelamento,1
219,244,13,2025-11-21,e-mail,solicitacao de cancelamento,1
220,228,5,2025-12-19,e-mail,solicitacao de exclusao de dados (LGPD),0
221,303,17,2026-03-08,telefone,solicitacao de exclusao de dados (LGPD),1
222,269,17,2025-11-04,telefone,solicitacao de cancelamento,1
223,277,5,2026-03-14,chat,problema no pagamento,1
224,188,13,2026-07-20,telefone,troca de produto,1
225,6,1,2025-11-18,e-mail,troca de produto,1
226,147,13,2026-06-18,e-mail,duvida sobre pedido,1
227,252,13,2026-03-18,telefone,duvida sobre pedido,1
228,150,17,2025-12-25,chat,duvida sobre pedido,1
229,192,5,2025-10-28,telefone,solicitacao de exclusao de dados (LGPD),1
230,203,5,2025-11-23,chat,problema no pagamento,1
231,113,9,2026-05-11,chat,problema no pagamento,1
232,123,17,2026-08-13,e-mail,solicitacao de cancelamento,1
233,333,17,2025-10-11,telefone,problema no pagamento,0
234,36,5,2026-03-26,chat,solicitacao de cancelamento,0
235,327,13,2026-08-05,e-mail,problema no pagamento,1
236,359,17,2026-06-14,telefone,troca de produto,1
237,10,5,2026-06-25,chat,solicitacao de exclusao de dados (LGPD),0
238,96,1,2025-11-29,telefone,solicitacao de cancelamento,0
239,367,13,2025-09-08,e-mail,duvida sobre pedido,0
240,47,5,2026-02-22,chat,problema no pagamento,0
241,176,13,2025-10-03,telefone,problema no pagamento,1
242,238,1,2026-03-16,telefone,duvida sobre pedido,0
243,29,9,2026-04-11,telefone,duvida sobre pedido,1
244,241,5,2026-05-02,chat,solicitacao de cancelamento,1
245,7,1,2025-11-26,e-mail,troca de produto,1
246,395,13,2026-06-09,chat,duvida sobre pedido,0
247,236,1,2025-11-15,e-mail,troca de produto,1
248,200,9,2025-09-22,telefone,troca de produto,1
249,373,1,2026-02-16,e-mail,solicitacao de exclusao de dados (LGPD),1
250,63,9,2026-06-01,telefone,solicitacao de cancelamento,0
251,185,1,2025-12-18,e-mail,troca de produto,0
252,121,13,2026-05-03,telefone,duvida sobre pedido,0
253,142,17,2026-02-01,chat,problema no pagamento,0
254,5,1,2026-05-10,e-mail,problema no pagamento,1
255,306,5,2026-04-21,telefone,duvida sobre pedido,0
256,81,13,2025-12-07,chat,solicitacao de exclusao de dados (LGPD),1
257,389,1,2026-05-12,chat,solicitacao de cancelamento,1
258,79,17,2026-01-20,chat,troca de produto,1
259,120,9,2026-03-14,e-mail,solicitacao de cancelamento,1
260,376,5,2026-04-01,chat,problema no pagamento,1
